comment,label
Los trámites bancarios en Cuba son burocráticos y lentos.,criterio_general
Los cajeros automáticos a menudo se quedan sin efectivo.,criterio_general
"La app de Transfermóvil es útil, pero necesita mejoras.",criterio_general
Las comisiones por transferencias internacionales son altas.,criterio_general
El horario de atención en bancos es demasiado reducido.,criterio_general
Denuncio que el Banco Metropolitano bloqueó mi cuenta sin explicación y retiene mis fondos.,denuncia
Reporto que cajeros automáticos en Santa Clara dispensan billetes falsos.,denuncia
Denuncio cobro de comisiones ilegales en transferencias internacionales en el BCC.,denuncia
Exijo investigación por demora deliberada en aprobar créditos hipotecarios a familias necesitadas.,denuncia
Denuncio que empleados del banco filtran datos de clientes a estafadores.,denuncia
Estoy cansado de las largas colas en los bancos por falta de organización,queja
Es indignante que los cajeros automáticos siempre estén sin efectivo los fines de semana,queja
Me tienen harto con los trámites interminables para una simple transferencia,queja
"Las comisiones bancarias son abusivas, especialmente para los pensionados",queja
Es frustrante que la aplicación móvil falle justo cuando más la necesito,queja
Propongo extender el horario de atención en bancos hasta las 7pm para quienes trabajan de día,sugerencia
Sería útil implementar cajeros automáticos que dispensen tanto CUP como MLC según necesidad del cliente,sugerencia
Sugiero crear videollamadas con asesores bancarios para evitar desplazamientos innecesarios,sugerencia
Recomiendo cursos de educación financiera básica en las sucursales para adultos mayores,sugerencia
Propongo un sistema de alertas por SMS para movimientos bancarios y prevenir fraudes,sugerencia
