comment,label
¿Cuál es el límite diario para transferencias en MLC desde Transfermóvil,pregunta
Saben si ya está operativo el nuevo cajero automático en 3ra y 70,pregunta
Qué bancos cubanos permiten recibir transferencias desde Europa directamente,pregunta
¿Es posible abrir una cuenta en dólares americanos siendo residente permanente,pregunta
Cómo bloqueo mi tarjeta magnética si la perdí pero no tengo saldo,pregunta
¿Hay que llevar algún documento especial para retirar más de 5000 CUP en efectivo,pregunta
Las transferencias entre cuentas propias en diferentes bancos tienen comisión,pregunta
¿Qué pasa si no actualizo mis datos personales en el banco antes del vencimiento,pregunta
Existe algún horario con menos colas para hacer trámites en el BPA,pregunta
¿Dónde puedo cambiar billetes grandes de CUP por denominaciones menores sin comisión,pregunta
La app de Transfermóvil es práctica pero necesita más estabilidad,criterio_general
Los cajeros automáticos frecuentemente están sin efectivo,criterio_general
Las comisiones por transferencias internacionales son excesivas,criterio_general
El horario de atención bancaria no se ajusta a quienes trabajan,criterio_general
La banca en línea ha agilizado muchos trámites burocráticos,criterio_general
Los requisitos para créditos hipotecarios son casi imposibles de cumplir,criterio_general
La seguridad en sucursales bancarias necesita mejorar,criterio_general
La demora en aprobar préstamos personales frena el emprendimiento,criterio_general
Los cursos de educación financiera deberían ser más accesibles,criterio_general
La atención al cliente en ventanilla suele ser amable pero lenta,criterio_general
Denuncio fraude en Banco Metropolitano: cobran comisiones del 5% por depósitos en MLC no establecidas en normativas,denuncia
Reporto robo de identidad en cajeros de 3ra y 70: clonan tarjetas al ingresar PIN bajo amenaza,denuncia
Exijo investigación sobre préstamos aprobados a funcionarios sin garantías mientras ciudadanos cumplen requisitos son rechazados,denuncia
Denuncio que empleados del BPA filtran información de cuentas en MLC a estafadores,denuncia
Reporto venta ilegal de dólares en ventanillas del BCC a precio superior al oficial,denuncia
Denuncio bloqueo arbitrario de cuentas de trabajadores por cuenta propia sin justificación,denuncia
Exijo acción contra cajeros automáticos que dispensan billetes falsos en sucursal de Miramar,denuncia
Denuncio cobro de 'tarifas express' por trámites que según normativa son gratuitos,denuncia
Reporto desvío de fondos para créditos agrícolas hacia cuentas personales en Banco de Crédito,denuncia
Denuncio demora premeditada en transferencias internacionales para cobrar intereses adicionales,denuncia
¿Por qué las transferencias demoran días en procesarse?,queja
Reclamo que los cajeros siempre están fuera de servicio.,queja
¿Cuándo van a mejorar la app de Transfermóvil? Siempre se cae.,queja
Queja porque cobran comisiones altísimas por operaciones básicas.,queja
¿Por qué no hay atención al cliente eficiente? Las colas son eternas.,queja
¿Por qué no permiten abrir cuentas en MLC a trabajadores por cuenta propia?,queja
Reclamo que las transferencias internacionales tardan 3 meses en llegar,queja
Denuncio cobro de comisiones no autorizadas en cuentas de ahorro,queja
¿Cuándo habrá cajeros que funcionen 24/7?,queja
Queja porque el banco no acepta dólares en efectivo pero sí en depósitos,queja
