comment,label
¿Cuánto tarda en llegar una carta certificada de La Habana a Holguín,pregunta
Dónde puedo reclamar un giro postal que nunca llegó al destinatario,pregunta
Es posible enviar paquetes a Estados Unidos por Correos de Cuba actualmente,pregunta
¿Qué documentos necesito para recibir un paquete internacional grande,pregunta
Hay algún costo adicional por almacenamiento si no recojo mi encomienda en 15 días,pregunta
¿Por qué no actualizan el sistema de rastreo de envíos nacionales,pregunta
Las cajas para enviar alimentos a provincia deben ser especiales,pregunta
¿Dónde encuentro el listado actualizado de artículos prohibidos para envío postal,pregunta
Existe algún convenio con DHL o UPS para envíos urgentes,pregunta
¿Qué garantías tengo si mi paquete internacional llega dañado,pregunta
El servicio postal cubano necesita modernización urgente,criterio_general
Las cartas internacionales tardan demasiado en llegar,criterio_general
La pérdida de paquetes con medicamentos es imperdonable,criterio_general
Los empleados de correos trabajan con infraestructura obsoleta,criterio_general
El sistema de rastreo online casi nunca funciona,criterio_general
Las tarifas postales son razonables pero el servicio es lento,criterio_general
La atención en ventanilla es más eficiente que el servicio real,criterio_general
Los envíos entre provincias deberían ser más rápidos,criterio_general
La falta de competencia hace que el servicio no mejore,criterio_general
Correos de Cuba podría ser viable con inversión y gestión adecuadas,criterio_general
Denuncio robo sistemático de paquetes con medicinas en aduana postal de Rancho Boyeros,denuncia
Reporto venta ilegal de sellos postales en el mercado negro a triple precio,denuncia
Exijo investigación sobre encomiendas internacionales que 'desaparecen' al llegar a Cuba,denuncia
Denuncio que empleados de correos en Camagüey abren cartas personales buscando dinero,denuncia
Reporto desvío de material de oficina donado por la ONU hacia tiendas particulares,denuncia
Denuncio cobro ilegal por 'gastos de almacenaje' a paquetes retenidos en aduana,denuncia
Exijo acción contra venta de direcciones de emigrantes a empresas de remesas,denuncia
Denuncio que en Santiago entregan giros postales solo si el receptor paga 'comisión',denuncia
Reporto deterioro premeditado de paquetes con alimentos para justificar su 'pérdida',denuncia
Denuncio colusión entre funcionarios y mensajeros privados para sabotear el servicio estatal,denuncia
¿Por qué un paquete tarda meses en llegar si es dentro del mismo país?,queja
Reclamo que pierden correspondencia importante y no se hacen responsables.,queja
¿Cuándo van a modernizar el sistema? Parece que estamos en el siglo pasado.,queja
Queja porque cobran caro por envíos y ni siquiera llegan a tiempo.,queja
¿Por qué no hay seguimiento en línea de los paquetes como en otros países?,queja
¿Por qué los paquetes de Amazon desaparecen en la aduana postal?,queja
Reclamo que cobran 5 CUC por notificaciones que nunca llegan,queja
Denuncio venta preferente de sellos conmemorativos a extranjeros,queja
¿Cuándo digitalizarán el servicio de giros postales?,queja
Queja porque el teléfono de atención al cliente nunca funciona,queja
