comment,label
"Correos de Cuba es lento, pero aún es el único servicio formal.",criterio_general
Las cartas internacionales a veces nunca llegan a su destino.,criterio_general
El sistema de rastreo de paquetes es obsoleto.,criterio_general
Los precios de los envíos no coinciden con la calidad del servicio.,criterio_general
Las oficinas de correos necesitan modernizarse urgentemente.,criterio_general
Denuncio el robo sistemático de paquetes internacionales en la aduana de Correos de Cuba.,denuncia
Reporto que en la oficina de correos de Vedado venden sellos postales a precio inflado.,denuncia
Exijo investigación por la pérdida deliberada de 10 encomiendas con medicamentos para Mayabeque.,denuncia
Denuncio que empleados de correos abren cartas personales y retiran dinero en efectivo.,denuncia
Reporto que el sistema de rastreo internacional nunca funciona para paquetes entrantes.,denuncia
Estoy harto de que las cartas internacionales nunca lleguen a su destino,queja
Es indignante que los paquetes desaparezcan en la aduana sin explicación,queja
"Me tienen cansado con el pésimo servicio de Correos de Cuba, lento e ineficiente",queja
Es inaceptable que cobren tanto por un servicio que nunca cumple,queja
Estoy frustrado porque mi encomienda lleva 5 meses en tránsito,queja
Propongo modernizar el sistema de rastreo de paquetes con códigos QR y actualizaciones en tiempo real,sugerencia
Sería útil implementar casilleros electrónicos en zonas céntricas para retirar paquetes las 24 horas,sugerencia
Sugiero crear una tarifa plana para envíos nacionales frecuentes de pequeños negocios,sugerencia
Recomiendo capacitación constante al personal en manejo de paquetes frágiles para reducir daños,sugerencia
Propongo alianzas con empresas locales para puntos de recogida de encomiendas en todos los municipios,sugerencia
