comment,label
¿Cuál es el costo actual de activar una línea móvil pospago,pregunta
Existe forma de recuperar saldo no utilizado de paquetes Nauta,pregunta
¿Por qué mi Internet residencial va más lento desde la última actualización,pregunta
Dónde puedo ver mi consumo de datos actualizado en tiempo real,pregunta
Van a habilitar más puntos wifi en Playa este año,pregunta
¿Qué hacer si mi módem Etecsa se sobrecalienta constantemente,pregunta
Es cierto que habrá aumento de velocidad para el servicio básico,pregunta
¿Cómo transfiero saldo entre dos líneas móviles de la misma cuenta,pregunta
Los equipos que venden en las tiendas tienen garantía internacional,pregunta
¿Dónde está la oficina comercial más cercana al Vedado para trámites de Internet,pregunta
ETECSA debería ofrecer paquetes más económicos para la tercera edad,criterio_general
La velocidad del Internet móvil ha mejorado notablemente este año,criterio_general
Es absurdo que el servicio técnico tarde semanas en responder,criterio_general
Las zonas wifi deberían tener más bancos y sombra para los usuarios,criterio_general
La atención al cliente por teléfono es lenta pero generalmente útil,criterio_general
Los precios de las recargas son prohibitivos para el salario promedio,criterio_general
La app de Nauta necesita una actualización urgente de su interfaz,criterio_general
La cobertura 4G en zonas rurales sigue siendo insuficiente,criterio_general
Los módems para Internet residencial son demasiado caros,criterio_general
ETECSA debería eliminar los mensajes promocionales no solicitados,criterio_general
Denuncio venta bajo mesa de líneas móviles por empleados de ETECSA en Plaza Vieja a 50 CUC c/u,denuncia
Reporto fraude en recargas Nauta: saldo desaparece a las 48 horas y la empresa no responde,denuncia
Exijo investigación sobre técnicos que cobran 80 CUC por 'activar' Internet residencial fuera de turno,denuncia
"Denuncio robo de fibra óptica en construcción de Infomed, retrasando proyecto por 3 meses",denuncia
Reporto que la tienda ETECSA de Galiano vende equipos reacondicionados como nuevos a precio completo,denuncia
Denuncio colusión entre empleados y revendedores: guardan módems para venderlos en el mercado negro,denuncia
Exijo acción contra cobros no autorizados en facturas de teléfono fijo por 'servicios premium' no solicitados,denuncia
Denuncio taller clandestino en Centro Habana que desbloquea líneas robadas por 30 CUC,denuncia
Reporto venta de bases de datos de clientes de ETECSA a empresas privadas sin consentimiento,denuncia
Denuncio que el centro de atención al cliente en Santa Clara cuelga llamadas para inflar estadísticas,denuncia
¿Por qué el internet móvil es tan lento? Pagamos caro por un servicio pésimo.,queja
Reclamo que las recargas a veces no se activan y pierdo el saldo.,queja
¿Cuándo van a mejorar la señal en zonas rurales? Aquí no hay cobertura.,queja
Queja porque el servicio técnico tarda semanas en venir a reparar el teléfono.,queja
¿Por qué cobran tan caro el internet si la velocidad es peor que en otros países?,queja
¿Por qué bloquean constantemente VPNs si el internet nacional no funciona?,queja
Reclamo que las líneas fijas tienen interferencias hace 6 meses,queja
Denuncio venta ilegal de paquetes Nauta por revendedores a precio triple,queja
¿Cuándo habrá 4G en municipios que no sean capitales provinciales?,queja
Queja porque los técnicos piden 'incentivos' para hacer reparaciones básicas,queja
Propongo paquetes de internet más baratos para estudiantes universitarios,sugerencia
Sugiero habilitar WiFi gratis en plazas públicas los fines de semana,sugerencia
¿Podrían mejorar la infraestructura de fibra óptica en el oriente del país?,sugerencia
Recomiendo crear una línea 118 para reportar fallas técnicas las 24h,sugerencia
Sería útil tener recargas electrónicas sin comisiones adicionales,sugerencia
Propongo digitalizar todos los trámites de ETECSA para evitar colas,sugerencia
Sugiero alianzas con empresas extranjeras para mejorar el ancho de banda,sugerencia
¿Podrían ofrecer cursos básicos de navegación para adultos mayores?,sugerencia
Recomiendo instalar cabinas telefónicas con internet en zonas rurales,sugerencia
Sería bueno permitir el pago de servicios con Transfermóvil,sugerencia
